fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.40908322,5.414297021,5.213258429,4.134194631,4.415398448,5.099482649,4.426781957,3.854067821,4.41545504,6.929038467,6.451083298,7
6.949608099,4.620603302,5.46115174,5.790327182,4.918877762,4.099902315,5.08563549,6.127625705,5.077704066,5.351832029,4.582107547,6
6.712604272,3.628486153,5.047996221,3.956751857,4.827336069,3.335517354,2.850239573,4.790238714,6.865776436,4.212738491,4.744627178,6
5.646087047,4.719815017,5.213258429,4.144052562,5.193502843,4.74668959,4.09735519,4.322153268,5.011479163,4.56322881,5.232186069,6
4.224064081,3.430062724,5.047996221,4.035615312,4.964648609,5.452275708,4.497373407,4.957412088,6.534651923,5.176586869,3.769509394,6
3.750056426,4.918238447,3.891160768,6.687398981,4.918877762,4.217500001,5.956263374,5.726409608,6.20352741,3.949870751,4.744627178,5
5.527585134,5.017450162,5.791676155,4.075047039,6.566628246,4.158701158,4.638556307,3.820633146,5.011479163,4.387983651,6.857382374,5
4.579569823,6.108779025,4.139054079,4.804533997,5.23927369,4.393896531,5.250348874,4.790238714,5.342603676,3.774625591,4.582107547,5
5.172079392,5.513508736,4.882734013,3.976467721,5.330815383,5.158281492,4.991513557,3.854067821,4.614129748,3.161267532,5.55722533,6
5.527585134,4.620603302,5.46115174,7.278874892,5.51389877,5.569873394,5.250348874,6.963492574,5.143928969,3.862248171,3.444470133,5
5.527585134,4.620603302,5.46115174,7.278874892,5.51389877,5.569873394,5.250348874,6.963492574,5.143928969,3.862248171,3.444470133,5
4.816573651,4.521391587,5.46115174,4.232773949,10,6.628252571,5.462123224,4.890542739,4.481679943,3.862248171,4.094548655,6
4.816573651,4.620603302,5.46115174,4.311637404,10,6.628252571,5.43859274,4.890542739,4.41545504,3.687003012,4.094548655,6
5.172079392,5.315085306,4.386947391,5.198851271,6.063148932,4.57029306,5.50918419,5.45893221,4.614129748,4.73847397,4.419587916,6
4.698071737,4.620603302,4.469578495,4.015899448,5.51389877,4.864287276,5.320940324,4.790238714,5.210153871,5.614699769,4.175808471,6
4.816573651,4.521391587,4.386947391,4.015899448,5.651211311,4.864287276,5.36800129,4.790238714,5.342603676,5.614699769,4.175808471,6
5.646087047,4.025333013,4.80010291,4.015899448,5.559669617,5.158281492,5.673897574,4.68993469,4.812804456,5.351832029,4.582107547,7
4.224064081,6.704049315,4.386947391,4.60737536,5.788523851,6.628252571,6.591586424,4.990846763,5.541278384,5.264209449,4.419587916,4
4.224064081,6.80326103,4.304316287,4.60737536,5.925836391,6.569453727,6.615116907,4.957412088,5.408828579,5.264209449,4.419587916,5
5.172079392,5.315085306,4.386947391,5.198851271,6.063148932,4.57029306,5.50918419,5.45893221,4.614129748,4.73847397,4.419587916,6
5.053577478,4.124544728,5.130627325,4.725670542,5.971607238,4.805488433,5.273879357,5.32519351,6.137302507,4.91371913,4.419587916,5
5.40908322,4.124544728,4.80010291,4.055331176,5.742753004,4.74668959,5.815080474,4.221849243,6.071077605,4.56322881,5.963524407,6
4.698071737,4.719815017,4.634840702,3.956751857,6.017378085,5.217080335,4.66208679,4.121545219,6.004852702,5.789944928,5.3947057,7
4.224064081,3.826909583,4.965365117,3.956751857,5.51389877,4.158701158,3.67380649,3.98780652,5.872402897,4.73847397,5.313445884,7
4.461067909,4.025333013,5.130627325,3.937035994,4.964648609,5.217080335,4.285599057,4.021241195,5.806177994,3.774625591,5.313445884,6
4.935075564,4.223756443,7.113773815,3.91732013,9.63327498,5.158281492,4.850330657,4.656500015,4.084330527,4.037493331,3.85076921,6
5.053577478,4.719815017,5.130627325,3.996183585,4.690023528,4.629091903,6.238629174,3.920937171,4.614129748,5.264209449,5.3947057,6
5.40908322,4.322968158,5.047996221,6.086065138,4.873106915,5.099482649,6.756299807,5.726409608,4.349230138,5.088964289,4.257068286,6
3.987060254,4.124544728,4.386947391,6.184644456,5.101961149,5.86386761,5.203287907,6.060756355,5.739953092,3.862248171,3.688249579,6
4.698071737,6.009567311,3.478005249,4.646807087,4.918877762,4.393896531,3.579684556,4.68993469,4.481679943,4.037493331,4.744627178,6
5.646087047,4.223756443,5.213258429,3.976467721,4.644252682,5.511074551,4.356190507,4.522761316,6.137302507,3.687003012,4.500847732,6
4.935075564,4.422179872,4.221685183,4.705954678,7.115878407,4.687890747,4.638556307,5.358628185,3.951880722,4.73847397,3.444470133,6
3.987060254,4.124544728,4.386947391,6.184644456,5.101961149,5.86386761,5.203287907,6.060756355,5.739953092,3.862248171,3.688249579,6
5.172079392,6.902472745,2.816956419,3.956751857,4.506940141,3.923505786,5.29740984,3.98780652,3.885655819,3.687003012,4.988406623,5
4.698071737,6.009567311,3.478005249,4.646807087,4.918877762,4.393896531,3.579684556,4.68993469,4.481679943,4.037493331,4.744627178,6
5.40908322,4.620603302,4.469578495,4.015899448,4.644252682,4.74668959,4.615025823,4.556195991,4.746579553,4.73847397,4.825886993,6
4.224064081,5.711932166,2.486432004,3.976467721,5.834294698,4.629091903,4.567964857,4.790238714,5.210153871,5.439454609,3.85076921,5
4.461067909,4.819026732,4.221685183,5.001692634,4.735794375,4.511494217,4.66208679,3.753763797,5.210153871,5.00134171,6.694862744,7
4.816573651,4.719815017,3.312743042,3.976467721,4.781565222,7.686631747,5.838610957,4.322153268,4.68035465,4.387983651,4.419587916,5
4.816573651,4.521391587,4.80010291,4.153910494,5.010419456,4.687890747,4.003233256,4.522761316,5.9386278,6.315680408,5.150926254,8
5.646087047,4.620603302,4.634840702,5.731179591,5.193502843,4.158701158,4.215007607,5.726409608,4.614129748,3.774625591,4.175808471,5
4.224064081,4.918238447,5.791676155,5.277714726,5.468127923,5.746269923,7.485744791,5.525801559,4.41545504,5.176586869,3.769509394,6
4.935075564,5.215873592,4.139054079,4.646807087,5.696982157,5.893267031,7.356327133,5.592670909,5.872402897,5.965190088,4.175808471,5
3.987060254,4.918238447,4.552209598,4.686238815,5.788523851,4.74668959,6.473934007,5.793278957,8.322724293,6.929038467,4.582107547,5
7.068110013,4.521391587,6.039569466,3.937035994,5.37658623,3.45311504,3.438501656,5.024281438,3.422081501,5.00134171,3.85076921,6
4.816573651,4.521391587,4.80010291,4.153910494,5.010419456,4.687890747,4.003233256,4.522761316,5.9386278,6.315680408,5.150926254,8
5.646087047,4.620603302,4.634840702,5.731179591,5.193502843,4.158701158,4.215007607,5.726409608,4.614129748,3.774625591,4.175808471,5
5.290581306,4.025333013,5.213258429,4.015899448,4.873106915,4.74668959,3.791458906,3.586590423,5.475053481,3.949870751,6.776122559,7
5.172079392,5.414297021,5.047996221,3.996183585,4.827336069,4.099902315,3.367910206,4.05467587,5.806177994,6.403302987,6.207303852,7
5.646087047,4.025333013,4.717471806,5.474873363,5.834294698,4.452695374,4.16794664,5.692974933,3.355856599,5.614699769,4.01328884,5
4.816573651,7.596954749,4.552209598,4.804533997,5.651211311,4.158701158,4.215007607,5.291758836,5.541278384,3.949870751,3.769509394,5
4.935075564,4.422179872,4.80010291,4.015899448,5.330815383,4.923086119,4.426781957,4.623065341,6.335977215,7.454773946,5.069666439,6
5.290581306,4.223756443,5.047996221,6.89441555,5.193502843,5.922666453,5.65036709,6.495407127,5.143928969,5.965190088,3.932029025,6
5.290581306,5.612720451,3.891160768,4.942545043,5.788523851,5.68747108,5.603306124,5.191454811,4.879029358,4.387983651,4.582107547,5
5.527585134,4.422179872,4.717471806,5.356578181,5.056190303,5.393476864,6.615116907,5.860148307,5.9386278,4.73847397,4.175808471,6
5.290581306,6.505625885,7.279036023,6.066349274,4.964648609,6.099062982,5.391531774,6.127625705,4.481679943,4.65085139,3.525729949,5
5.290581306,6.6048376,7.361667127,6.066349274,4.918877762,5.981465296,5.320940324,6.161060379,4.547904845,4.73847397,3.525729949,6
5.40908322,6.108779025,7.44429823,5.908622365,4.918877762,6.157861825,5.415062257,6.127625705,4.349230138,4.56322881,3.525729949,6
4.935075564,4.719815017,4.80010291,6.36208723,5.193502843,6.981045629,6.497464491,6.060756355,5.210153871,4.91371913,4.338328101,6
5.290581306,6.505625885,7.279036023,6.066349274,4.964648609,6.099062982,5.391531774,6.127625705,4.481679943,4.65085139,3.525729949,5
5.290581306,6.6048376,7.361667127,6.066349274,4.918877762,5.981465296,5.320940324,6.161060379,4.547904845,4.73847397,3.525729949,6
5.40908322,6.108779025,7.44429823,5.908622365,4.918877762,6.157861825,5.415062257,6.127625705,4.349230138,4.56322881,3.525729949,6
4.105562168,4.918238447,5.791676155,5.218567135,5.147731996,6.745850257,7.462214308,5.559236234,4.547904845,4.82609655,3.769509394,5
5.053577478,4.620603302,4.965365117,4.075047039,4.506940141,5.68747108,4.94445259,3.653459773,5.475053481,4.212738491,6.694862744,7
5.053577478,4.322968158,4.965365117,4.094762903,4.461169294,5.746269923,4.94445259,3.620025098,5.408828579,4.300361071,6.694862744,7
5.764588961,3.926121298,4.882734013,4.075047039,4.735794375,5.922666453,5.22681839,4.188414569,5.143928969,4.56322881,5.801004776,7
5.290581306,4.819026732,4.634840702,6.184644456,4.918877762,6.569453727,7.391622858,5.960452331,4.018105625,4.387983651,3.932029025,6
3.987060254,5.612720451,7.692191542,6.874699686,5.010419456,4.452695374,5.603306124,6.294799078,4.68035465,5.088964289,3.606989764,6
7.068110013,4.868632589,5.213258429,3.976467721,4.461169294,3.805908099,3.626745523,4.088110544,3.422081501,3.862248171,5.719744961,7
8.490132979,5.811143881,6.039569466,5.810043046,4.644252682,3.159120825,3.697336973,5.525801559,3.024732086,3.336512692,4.663367362,4
3.987060254,5.612720451,7.692191542,6.874699686,5.010419456,4.452695374,5.603306124,6.294799078,4.68035465,5.088964289,3.606989764,6
5.646087047,4.719815017,5.295889532,6.401518957,5.651211311,5.981465296,6.262159657,6.161060379,3.753206014,4.56322881,3.85076921,5
5.290581306,3.430062724,4.882734013,5.632600273,5.37658623,6.687051414,5.556245157,5.726409608,6.402202118,4.300361071,4.094548655,5
3.987060254,4.322968158,4.221685183,6.125496865,5.193502843,6.157861825,5.603306124,5.993887006,6.004852702,4.125115911,4.094548655,5
5.764588961,5.265479449,5.543782844,7.466175598,5.605440464,5.511074551,5.744489024,6.996927248,3.686981112,4.73847397,3.769509394,5
5.646087047,4.719815017,5.295889532,6.401518957,5.651211311,5.981465296,6.262159657,6.161060379,3.753206014,4.56322881,3.85076921,5
5.527585134,3.529274439,4.882734013,6.578961731,5.23927369,4.923086119,4.30912954,6.127625705,5.077704066,3.774625591,3.932029025,6
5.290581306,3.430062724,4.882734013,5.632600273,5.37658623,6.687051414,5.556245157,5.726409608,6.402202118,4.300361071,4.094548655,5
5.290581306,4.521391587,5.130627325,6.992994869,4.735794375,6.451856041,5.768019507,6.662580501,4.812804456,5.877567508,3.85076921,6
5.290581306,4.521391587,5.130627325,6.992994869,4.735794375,6.451856041,5.768019507,6.662580501,4.812804456,5.877567508,3.85076921,6
5.053577478,5.513508736,4.552209598,3.996183585,5.23927369,5.099482649,6.14450724,4.556195991,5.541278384,5.965190088,4.825886993,5
4.579569823,3.926121298,6.700618296,5.415725772,6.65816994,6.687051414,5.57977564,5.626105583,3.024732086,4.125115911,3.606989764,6
5.40908322,4.918238447,6.039569466,7.436601802,5.285044536,5.569873394,7.744580108,6.996927248,4.018105625,5.264209449,3.688249579,5
5.40908322,5.315085306,6.370093881,6.36208723,5.468127923,6.922246786,6.332751107,6.395103103,3.819430917,4.82609655,3.932029025,5
4.816573651,6.307202455,5.047996221,5.553736818,5.147731996,4.629091903,5.273879357,5.927017656,5.210153871,5.176586869,3.85076921,5
4.816573651,6.307202455,5.047996221,5.553736818,5.147731996,4.629091903,5.273879357,5.927017656,5.210153871,5.176586869,3.85076921,5
3.394550685,7.051290317,2.238538693,4.035615312,5.880065544,3.394316197,4.16794664,4.990846763,7.925374877,4.212738491,4.338328101,4
3.987060254,5.315085306,4.221685183,4.390500859,4.781565222,4.393896531,5.109165973,4.121545219,5.806177994,4.56322881,5.638485145,6
5.172079392,3.628486153,5.543782844,4.075047039,4.506940141,3.864706943,3.74439794,4.021241195,5.011479163,4.387983651,6.044784222,6
5.40908322,5.315085306,6.370093881,6.36208723,5.468127923,6.922246786,6.332751107,6.395103103,3.819430917,4.82609655,3.932029025,5
5.527585134,5.414297021,6.204831674,6.36208723,5.651211311,6.275459512,6.356281591,6.395103103,4.018105625,5.088964289,3.932029025,5
3.86855834,5.811143881,2.569063108,4.863681588,5.010419456,4.158701158,3.791458906,4.790238714,5.210153871,5.176586869,4.744627178,5
6.120094703,4.620603302,4.882734013,6.145212729,5.37658623,5.393476864,4.991513557,6.461972452,3.819430917,5.439454609,3.606989764,5
5.646087047,3.826909583,4.80010291,5.090414021,5.605440464,4.74668959,4.826800173,5.39206286,5.673728189,3.687003012,4.338328101,5
5.053577478,4.124544728,4.552209598,4.725670542,5.559669617,3.747109256,5.179757424,5.39206286,5.673728189,3.862248171,3.85076921,6
4.461067909,3.529274439,6.12220057,4.055331176,7.115878407,5.275879178,5.462123224,4.589630666,5.143928969,3.862248171,4.419587916,6
4.816573651,4.124544728,5.213258429,3.956751857,4.09500252,6.628252571,5.109165973,4.05467587,5.541278384,4.91371913,5.3947057,6
5.646087047,6.108779025,4.139054079,5.119987816,4.415398448,4.629091903,4.709147757,4.990846763,4.68035465,4.387983651,4.988406623,5
4.579569823,4.620603302,4.882734013,5.238282998,4.644252682,5.746269923,6.520994974,5.592670909,6.733326631,5.439454609,4.338328101,7
4.105562168,5.215873592,6.865880504,4.29192154,4.918877762,5.68747108,5.956263374,4.455891967,5.739953092,5.702322349,5.313445884,7
4.105562168,5.215873592,6.865880504,4.272205677,5.010419456,5.628672237,6.07391579,4.455891967,5.806177994,5.702322349,5.313445884,6
3.631554512,4.819026732,4.304316287,5.790327182,3.82037744,3.335517354,3.085544406,4.990846763,6.335977215,3.949870751,5.069666439,5
4.579569823,4.620603302,4.882734013,5.238282998,4.644252682,5.746269923,6.520994974,5.592670909,6.733326631,5.439454609,4.338328101,7
4.579569823,6.456020028,5.543782844,6.322655502,4.644252682,6.393057198,7.415153341,6.294799078,5.276378774,5.702322349,3.769509394,5
4.698071737,4.620603302,4.469578495,6.854983823,4.506940141,5.628672237,6.168037724,6.395103103,5.342603676,5.176586869,3.932029025,5
4.935075564,4.918238447,4.056422976,5.336862317,4.461169294,6.157861825,6.520994974,5.692974933,5.011479163,5.264209449,3.688249579,5
4.816573651,4.918238447,4.80010291,6.835267959,4.552710988,5.511074551,5.956263374,6.294799078,5.475053481,5.614699769,4.257068286,5
6.594102358,4.521391587,5.543782844,3.976467721,4.140773367,5.040683806,4.59149534,4.322153268,4.547904845,4.037493331,5.150926254,6
5.290581306,5.910355596,7.774822646,5.810043046,4.964648609,5.805068766,5.391531774,6.161060379,4.812804456,4.56322881,3.525729949,5
4.935075564,4.124544728,5.213258429,4.114478767,4.506940141,4.687890747,4.003233256,4.221849243,4.746579553,5.439454609,5.232186069,7
6.475600444,5.017450162,5.46115174,4.114478767,4.232315061,3.982304629,3.60321504,4.422457292,5.276378774,5.264209449,6.044784222,6
4.342565995,5.315085306,5.047996221,4.173626358,4.964648609,4.099902315,3.556154073,4.556195991,5.739953092,4.47560623,4.744627178,5
5.290581306,5.910355596,7.774822646,5.810043046,4.964648609,5.805068766,5.391531774,6.161060379,4.812804456,4.56322881,3.525729949,5
6.238596616,4.322968158,5.543782844,3.976467721,4.690023528,5.158281492,4.262068573,4.322153268,5.143928969,5.439454609,5.232186069,6
6.949608099,4.322968158,5.626413947,4.587659496,4.552710988,4.335097688,4.073824707,5.224889486,4.945254261,5.351832029,4.338328101,6
6.475600444,4.223756443,5.543782844,4.134194631,4.598481835,4.041103472,3.791458906,4.355587942,4.547904845,5.439454609,5.55722533,6
4.342565995,4.769420875,5.295889532,3.956751857,4.735794375,5.099482649,4.426781957,3.820633146,3.753206014,4.125115911,5.313445884,6
3.513052598,3.826909583,4.469578495,4.015899448,4.918877762,6.040264139,5.697428057,4.255283918,5.607503287,3.949870751,4.663367362,6
4.461067909,8.142619181,3.395374145,4.765102269,5.559669617,3.805908099,4.02676374,5.358628185,6.269752313,3.862248171,3.769509394,4
4.342565995,5.612720451,4.965365117,4.646807087,4.461169294,4.041103472,3.626745523,4.221849243,6.269752313,5.789944928,6.207303852,7
5.053577478,4.719815017,4.717471806,4.548227769,5.37658623,4.276298845,4.473842923,4.990846763,3.686981112,4.037493331,4.094548655,6
6.238596616,4.422179872,5.378520636,5.317146453,4.873106915,5.628672237,5.320940324,4.790238714,4.547904845,3.511757852,5.801004776,7
5.883090875,4.025333013,6.039569466,5.750895455,5.422357077,6.334258355,4.920922107,5.927017656,4.68035465,4.47560623,4.500847732,6
5.053577478,4.719815017,4.717471806,4.548227769,5.37658623,4.276298845,4.473842923,4.990846763,3.686981112,4.037493331,4.094548655,6
5.40908322,4.025333013,5.626413947,3.976467721,5.101961149,5.334678021,4.02676374,4.288718593,4.68035465,4.65085139,4.907146808,5
6.594102358,4.521391587,5.543782844,5.218567135,5.147731996,3.62951157,3.53262359,5.860148307,4.15055543,8.068132005,4.338328101,6
5.646087047,4.620603302,5.709045051,6.500098276,5.925836391,5.746269923,6.403342557,6.294799078,3.024732086,4.387983651,3.688249579,6
5.646087047,4.620603302,5.709045051,6.500098276,5.925836391,5.746269923,6.403342557,6.294799078,3.024732086,4.387983651,3.688249579,6
4.105562168,5.414297021,4.221685183,4.035615312,4.552710988,5.158281492,4.66208679,3.586590423,5.673728189,4.387983651,6.532343113,7
3.039044943,6.6048376,2.569063108,4.015899448,4.552710988,5.452275708,4.544434373,3.452851724,6.137302507,3.599380432,6.288563668,8
3.039044943,6.6048376,2.569063108,4.015899448,4.552710988,5.452275708,4.544434373,3.452851724,6.137302507,3.599380432,6.288563668,8
4.105562168,5.414297021,4.221685183,4.035615312,4.552710988,5.158281492,4.66208679,3.586590423,5.673728189,4.387983651,6.532343113,7
4.461067909,4.422179872,6.865880504,6.598677594,5.422357077,4.511494217,5.485653707,6.328233753,3.620756209,4.212738491,3.85076921,5
4.342565995,5.811143881,4.717471806,4.686238815,5.147731996,3.747109256,3.74439794,4.723369365,5.607503287,4.125115911,5.069666439,5
5.646087047,4.620603302,5.709045051,6.500098276,5.925836391,5.746269923,6.403342557,6.294799078,3.024732086,4.387983651,3.688249579,6
4.816573651,4.620603302,5.130627325,6.322655502,5.193502843,6.687051414,6.568055941,5.993887006,4.746579553,5.088964289,4.175808471,5
5.172079392,4.521391587,5.213258429,6.302939639,5.23927369,7.157442159,5.909202407,6.060756355,4.812804456,5.00134171,4.419587916,5
6.831106186,4.918238447,6.039569466,5.455157499,5.101961149,5.217080335,6.379812074,6.127625705,4.68035465,5.877567508,4.257068286,6
4.816573651,6.80326103,3.725898561,4.213058085,4.461169294,4.393896531,4.050294223,3.519721074,4.283005235,4.56322881,6.694862744,7
5.764588961,5.116661877,4.80010291,5.504447158,5.422357077,4.099902315,5.29740984,5.927017656,4.283005235,5.439454609,4.01328884,5
8.490132979,6.40641417,6.204831674,5.681889932,4.461169294,3.217919668,4.332660023,5.592670909,2.892282281,3.248890112,4.582107547,5
5.290581306,5.215873592,6.039569466,4.035615312,5.925836391,4.629091903,4.87386114,3.854067821,4.547904845,5.439454609,6.776122559,6
6.238596616,4.124544728,5.956938362,4.035615312,4.964648609,3.923505786,4.003233256,4.221849243,4.614129748,4.125115911,5.3947057,6
5.883090875,7.001684459,5.295889532,3.897604266,4.598481835,3.159120825,4.09735519,3.720329122,3.951880722,4.125115911,5.719744961,4
4.342565995,4.422179872,5.791676155,4.636949155,4.644252682,4.74668959,4.80326969,4.255283918,6.071077605,3.599380432,5.801004776,7
5.764588961,4.918238447,4.80010291,7.229585233,5.23927369,4.864287276,5.815080474,6.662580501,4.349230138,6.315680408,4.744627178,5
5.053577478,4.521391587,5.543782844,5.218567135,4.735794375,5.86386761,5.29740984,4.556195991,4.481679943,3.073644953,5.719744961,6
5.40908322,5.414297021,6.12220057,4.745386406,4.918877762,4.041103472,3.273788273,3.98780652,3.951880722,4.300361071,6.694862744,4
3.86855834,4.521391587,4.717471806,6.283223775,5.37658623,6.275459512,5.744489024,6.060756355,5.607503287,4.125115911,4.094548655,5
3.987060254,8.886707042,2.816956419,3.976467721,5.651211311,3.45311504,4.285599057,4.68993469,4.481679943,3.774625591,3.525729949,4
4.461067909,4.719815017,4.882734013,4.82424986,5.147731996,5.334678021,5.885671924,5.32519351,5.011479163,6.666170727,3.932029025,6
4.461067909,5.513508736,4.80010291,4.82424986,5.101961149,5.393476864,5.815080474,5.358628185,5.011479163,6.490925567,4.01328884,6
5.290581306,5.612720451,3.478005249,3.976467721,5.330815383,6.510654884,6.050385307,4.857108064,4.349230138,4.47560623,3.932029025,5
4.935075564,5.017450162,5.543782844,8.077367373,5.101961149,5.746269923,5.673897574,7.331273996,3.289631696,5.088964289,3.525729949,5
5.053577478,4.918238447,5.543782844,6.500098276,5.193502843,6.687051414,7.085726574,6.294799078,4.945254261,5.789944928,4.257068286,6
4.935075564,4.819026732,6.865880504,6.086065138,4.873106915,6.687051414,7.062196091,5.993887006,3.885655819,6.228057828,4.01328884,5
4.935075564,5.116661877,6.865880504,6.086065138,4.873106915,6.8046491,7.156318024,6.060756355,3.885655819,6.228057828,4.01328884,5
4.816573651,4.620603302,5.626413947,5.593168545,4.735794375,5.805068766,5.65036709,5.45893221,4.547904845,6.052812668,4.500847732,6
3.86855834,5.215873592,4.139054079,4.567943632,4.644252682,5.393476864,4.544434373,4.455891967,4.746579553,5.088964289,5.3947057,5
4.935075564,7.497743034,5.130627325,4.489080177,4.461169294,4.452695374,4.30912954,3.854067821,5.475053481,5.702322349,6.776122559,8
4.579569823,5.017450162,4.552209598,5.415725772,5.056190303,6.099062982,6.685708357,5.726409608,4.349230138,5.439454609,3.688249579,4
4.698071737,5.017450162,4.552209598,5.415725772,5.285044536,6.157861825,6.709238841,5.726409608,4.349230138,5.527077189,3.688249579,6
4.935075564,5.017450162,5.543782844,8.077367373,5.101961149,5.746269923,5.673897574,7.331273996,3.289631696,5.088964289,3.525729949,5
4.935075564,5.017450162,5.213258429,5.317146453,4.964648609,4.57029306,4.638556307,4.589630666,3.885655819,3.949870751,5.719744961,6
4.698071737,3.727697868,5.047996221,4.745386406,5.422357077,4.923086119,4.685617273,5.057716112,6.137302507,4.387983651,4.257068286,5
4.461067909,5.116661877,5.874307259,4.44964845,10,7.333838688,6.00332434,5.057716112,3.885655819,4.300361071,3.85076921,5
4.461067909,5.215873592,5.956938362,4.429932586,10,7.392637531,5.979793857,5.057716112,3.885655819,4.125115911,3.85076921,6
4.461067909,5.116661877,5.874307259,4.44964845,10,7.333838688,6.050385307,5.057716112,3.819430917,4.037493331,3.85076921,5
4.935075564,4.819026732,4.221685183,5.277714726,5.285044536,6.099062982,6.779830291,5.692974933,4.614129748,4.82609655,3.688249579,5
5.290581306,5.414297021,4.221685183,6.322655502,5.193502843,5.981465296,6.544525457,6.328233753,4.41545504,5.00134171,3.606989764,5
4.935075564,4.819026732,4.221685183,5.277714726,5.285044536,6.099062982,6.779830291,5.692974933,4.614129748,4.82609655,3.688249579,5
4.935075564,4.918238447,4.386947391,6.914131414,5.147731996,6.157861825,6.356281591,6.461972452,4.746579553,5.088964289,4.01328884,5
5.290581306,5.414297021,4.221685183,6.322655502,5.193502843,5.981465296,6.544525457,6.328233753,4.41545504,5.00134171,3.606989764,5
5.053577478,7.596954749,4.882734013,6.342371366,5.193502843,6.040264139,7.297500924,6.09419103,5.077704066,5.088964289,4.257068286,5
4.935075564,4.819026732,5.047996221,6.480382412,4.461169294,5.217080335,4.897391623,5.291758836,5.9386278,5.351832029,6.207303852,6
